,candidate1,candidate2,party1,party2,share1,share2,district,name_woman1,party_woman1,result_woman1,state,status_woman1,name_woman2,party_woman2,result_woman2,status_woman2
231,Greg Gianforte,Kathleen Williams,Republican,Democratic,50.9,46.2,MT-00,Kathleen Williams,Democratic,Lost,MT,C,,,,
232,Jeff Fortenberry,Jessica McClure,Republican,Democratic,60.4,39.6,NE-01,Jessica McClure,Democratic,Lost,NE,C,,,,
233,Don Bacon,Kara Eastman,Republican,Democratic,51.0,49.0,NE-02,Kara Eastman,Democratic,Lost,NE,C,,,,
234,Adrian Smith,Paul Theobald,Republican,Democratic,76.7,23.3,NE-03,,,,,,,,,
235,Dina Titus,Joyce Bentley,Democratic,Republican,66.2,30.9,NV-01,Dina C. Titus,Democratic,WON,NV,I,Joyce F. Bentley,Republican,Lost,C
236,Mark Amodei,Clint Koble,Republican,Democratic,58.2,41.8,NV-02,,,,,,,,,
237,Susie Lee,Danny Tarkanian,Democratic,Republican,51.9,42.8,NV-03,Susie Lee,Democratic,WON,NV,O,,,,
238,Steven Horsford,Cresent Hardy,Democratic,Republican,51.9,43.8,NV-04,,,,,,,,,
239,Chris Pappas,Eddie Edwards,Democratic,Republican,53.6,45.0,NH-01,,,,,,,,,
240,Ann McLane Kuster,Steve Negron,Democratic,Republican,55.5,42.2,NH-02,Ann McLane Kuster,Democratic,WON,NH,I,,,,
241,Donald Norcross,Paul E. Dilks,Democratic,Republican,64.4,33.3,NJ-01,,,,,,,,,
242,Donald M. Payne Jr.,Agha Khan,Democratic,Republican,87.6,10.1,NJ-10,,,,,,,,,
243,Mikie Sherrill,Jay Webber,Democratic,Republican,56.8,42.1,NJ-11,Mikie Sherrill,Democratic,WON,NJ,O,,,,
244,Bonnie Watson Coleman,Daryl Kipnis,Democratic,Republican,68.7,31.3,NJ-12,Bonnie Watson Coleman,Democratic,WON,NJ,I,,,,
245,Jeff Van Drew,Seth Grossman,Democratic,Republican,52.9,45.2,NJ-02,,,,,,,,,
246,Andy Kim,Tom MacArthur,Democratic,Republican,50.0,48.7,NJ-03,,,,,,,,,
247,Christopher H. Smith,Joshua Welle,Republican,Democratic,55.4,43.1,NJ-04,,,,,,,,,
248,Josh Gottheimer,John J. McCann,Democratic,Republican,56.2,42.5,NJ-05,,,,,,,,,
249,Frank Pallone Jr.,Richard J. Pezzullo,Democratic,Republican,63.6,36.4,NJ-06,,,,,,,,,
250,Tom Malinowski,Leonard Lance,Democratic,Republican,51.7,46.7,NJ-07,,,,,,,,,
251,Albio Sires,John R. Muniz,Democratic,Republican,78.1,18.7,NJ-08,,,,,,,,,
252,Bill Pascrell Jr.,Eric P. Fisher,Democratic,Republican,70.3,28.9,NJ-09,,,,,,,,,
253,Deb Haaland,Janice Arnold-Jones,Democratic,Republican,59.1,36.3,NM-01,Debra A. Haaland,Democratic,WON,NM,O,Janice Arnold-Jones,Republican,Lost,O
254,Xochitl Torres Small,Yvette Herrell,Democratic,Republican,50.9,49.1,NM-02,Yvette Herrell,Republican,Lost,NM,O,Xochitl Torres Small,Democratic,WON,O
255,Ben Ray Luján,Jerald Steve McFall,Democratic,Republican,63.4,31.2,NM-03,,,,,,,,,
256,Lee Zeldin,Lee Zeldin,Republican,Other,45.0,5.3,NY-01,,,,,,,,,
257,Jerrold Nadler,Naomi Levin,Democratic,Republican,82.1,17.9,NY-10,Naomi Levin,Republican,Lost,NY,C,,,,
258,Max Rose,Max Rose,Democratic,Other,50.4,2.0,NY-11,,,,,,,,,
259,Carolyn Maloney,Carolyn Maloney,Democratic,Other,81.8,4.4,NY-12,Carolyn B. Maloney,Democratic,WON,NY,I,,,,
260,Adriano Espaillat,Jineea Butler,Democratic,Republican,94.6,5.4,NY-13,Jineea Butler,Republican,Lost,NY,C,,,,
261,Alexandria Ocasio-Cortez,Anthony Pappas,Democratic,Republican,78.2,13.6,NY-14,Alexandria Ocasio-Cortez,Democratic,WON,NY,O,,,,
262,José Serrano,José Serrano,Democratic,Other,94.1,1.9,NY-15,,,,,,,,,
263,Eliot Engel,Eliot Engel,Democratic,Other,94.9,3.7,NY-16,,,,,,,,,
264,Nita Lowey,Nita Lowey,Democratic,Other,82.7,3.8,NY-17,Nita M. Lowey,Democratic,WON,NY,I,,,,
265,Sean Patrick Maloney,Sean Patrick Maloney,Democratic,Other,50.2,3.1,NY-18,,,,,,,,,
266,Antonio Delgado,Antonio Delgado,Democratic,Other,47.1,3.2,NY-19,,,,,,,,,
267,Peter T. King,Liuba Grechen Shirley,Republican,Democratic,53.1,46.9,NY-02,Liuba Grechen Shirley,Democratic,Lost,NY,C,,,,
268,Paul Tonko,Paul Tonko,Democratic,Other,60.7,3.8,NY-20,,,,,,,,,
269,Elise Stefanik,Elise Stefanik,Republican,Other,49.5,4.9,NY-21,Elise M. Stefanik,Republican,WON,NY,I,Tedra L. Cobb,Democratic,Lost,C
270,Anthony Brindisi,Claudia Tenney,Democratic,Republican,50.9,49.1,NY-22,Claudia Tenney,Republican,Lost,NY,I,,,,
271,Tom Reed,Tracy Mitrano,Republican,Democratic,54.2,45.8,NY-23,Tracy Mitrano,Democratic,Lost,NY,C,,,,
272,John Katko,Dana Balter,Republican,Democratic,52.6,47.4,NY-24,Dana Balter,Democratic,Lost,NY,C,,,,
273,Joseph Morelle,Jim Maxwell,Democratic,Republican,59.0,41.0,NY-25,,,,,,,,,
274,Brian Higgins,Renee Zeno,Democratic,Republican,73.3,26.7,NY-26,Renee M. Zeno,Republican,Lost,NY,C,,,,
275,Chris Collins,Chris Collins,Republican,Other,40.2,8.2,NY-27,,,,,,,,,
276,Tom Suozzi,Tom Suozzi,Democratic,Other,56.2,1.1,NY-03,,,,,,,,,
277,Kathleen Rice,Kathleen Rice,Democratic,Other,60.2,1.1,NY-04,Kathleen M. Rice,Democratic,WON,NY,I,,,,
278,Gregory Meeks,,Democratic,Other,100.0,0.0,NY-05,,,,,,,,,
279,Grace Meng,Grace Meng,Democratic,Other,84.9,5.2,NY-06,Grace Meng,Democratic,WON,NY,I,,,,
280,Nydia Velázquez,Nydia Velázquez,Democratic,Other,85.4,8.0,NY-07,Nydia M. Velazquez,Democratic,WON,NY,I,,,,
281,Hakeem Jeffries,Hakeem Jeffries,Democratic,Other,89.3,5.0,NY-08,,,,,,,,,
282,Yvette Clarke,Yvette Clarke,Democratic,Other,82.3,7.0,NY-09,Yvette D. Clarke,Democratic,WON,NY,I,,,,
283,G. K. Butterfield,Roger Allison,Democratic,Republican,69.9,30.2,NC-01,,,,,,,,,
284,Patrick McHenry,David Wilson Brown,Republican,Democratic,59.3,40.7,NC-10,,,,,,,,,
285,Mark Meadows,Phillip Price,Republican,Democratic,59.2,38.8,NC-11,,,,,,,,,
286,Alma Adams,Paul Wright,Democratic,Republican,73.1,26.9,NC-12,Alma S. Adams,Democratic,WON,NC,I,,,,
287,Ted Budd,Kathy Manning,Republican,Democratic,51.5,45.6,NC-13,Kathy Manning,Democratic,Lost,NC,C,,,,
288,George Holding,Linda Coleman,Republican,Democratic,51.3,45.8,NC-02,Linda D. Coleman,Democratic,Lost,NC,C,,,,
289,"Walter B. Jones, Jr.",,Republican,Other,100.0,0.0,NC-03,,,,,,,,,
290,David Price,Steve Loor,Democratic,Republican,72.4,24.0,NC-04,,,,,,,,,
291,Virginia Foxx,Denise D. Adams,Republican,Democratic,57.0,43.0,NC-05,Virginia A. Foxx,Republican,WON,NC,I,Denise Darcel Adams,Democratic,Lost,C
292,Mark Walker,Ryan Watts,Republican,Democratic,56.5,43.5,NC-06,,,,,,,,,
293,David Rouzer,Kyle Horton,Republican,Democratic,55.5,42.8,NC-07,Kyle Horton,Democratic,Lost,NC,C,,,,
294,Richard Hudson,Frank McNeill,Republican,Democratic,55.3,44.7,NC-08,,,,,,,,,
295,Mark Harris,Dan McCready,Republican,Democratic,49.25,48.93,NC-09,,,,,,,,,
296,Kelly Armstrong,Mac Schneider,Republican,Other,60.2,35.6,ND-00,,,,,,,,,
297,Steve Chabot,Aftab Pureval,Republican,Democratic,51.3,46.9,OH-01,,,,,,,,,
298,Mike Turner,Theresa Gasper,Republican,Democratic,55.9,42.2,OH-10,Theresa Gasper,Democratic,Lost,OH,C,,,,
299,Marcia Fudge,Beverly A. Goldstein,Democratic,Republican,82.2,17.8,OH-11,Marcia L. Fudge,Democratic,WON,OH,I,Beverly Goldstein,Republican,Lost,C
300,Tim Ryan,Chris DePizzo,Democratic,Republican,61.0,39.0,OH-13,,,,,,,,,
301,David Joyce,Betsy Rader,Republican,Democratic,55.2,44.6,OH-14,Betsy Rader,Democratic,Lost,OH,C,,,,
302,Steve Stivers,Rick Neal,Republican,Democratic,58.3,39.7,OH-15,,,,,,,,,
303,Anthony Gonzalez,Susan Moran Palmer,Republican,Democratic,56.7,43.3,OH-16,Susan Moran Palmer,Democratic,Lost,OH,O,,,,
304,Brad Wenstrup,Jill Schiller,Republican,Democratic,57.6,41.2,OH-02,Jill Schiller,Democratic,Lost,OH,C,,,,
305,Joyce Beatty,Jim Burgess,Democratic,Republican,73.6,26.4,OH-03,Joyce B. Beatty,Democratic,WON,OH,I,,,,
306,Jim Jordan,Janet Garrett,Republican,Democratic,65.3,34.7,OH-04,Janet Garrett,Democratic,Lost,OH,C,,,,
307,Bob Latta,J. Michael Galbraith,Republican,Democratic,62.3,35.1,OH-05,,,,,,,,,
308,Bill Johnson,Shawna Roberts,Republican,Democratic,69.2,30.8,OH-06,Shawna Roberts,Democratic,Lost,OH,C,,,,
309,Bob Gibbs,Ken Harbaugh,Republican,Democratic,58.7,41.3,OH-07,,,,,,,,,
310,Warren Davidson,Vanessa Enoch,Republican,Democratic,66.6,33.4,OH-08,Vanessa L. Enoch,Democratic,Lost,OH,C,,,,
311,Marcy Kaptur,Steve Kraus,Democratic,Republican,67.8,32.2,OH-09,Marcy C. Kaptur,Democratic,WON,OH,I,,,,
312,Kevin Hern,Tim Gilpin,Republican,Democratic,59.3,40.7,OK-01,,,,,,,,,
313,Markwayne Mullin,Jason Nichols,Republican,Democratic,65.0,30.1,OK-02,,,,,,,,,
314,Frank Lucas,Frankie Robbins,Republican,Democratic,73.9,26.1,OK-03,,,,,,,,,
315,Tom Cole,Mary Brannon,Republican,Democratic,63.1,33.0,OK-04,Mary Brannon,Democratic,Lost,OK,C,,,,
316,Kendra Horn,Steve Russell,Democratic,Republican,50.7,49.3,OK-05,Kendra Horn,Democratic,WON,OK,C,,,,
317,Suzanne Bonamici,John Verbeek,Democratic,Republican,63.6,32.1,OR-01,Suzanne M. Bonamici,Democratic,WON,OR,I,,,,
318,Greg Walden,Jamie McLeod-Skinner,Republican,Democratic,56.3,39.4,OR-02,Jamie McLeod-Skinner,Democratic,Lost,OR,C,,,,
319,Earl Blumenauer,Tom Harrison,Democratic,Republican,72.6,19.8,OR-03,,,,,,,,,
320,Peter DeFazio,Art Robinson,Democratic,Republican,56.0,40.9,OR-04,,,,,,,,,
321,Kurt Schrader,Mark Callahan,Democratic,Republican,55.0,41.8,OR-05,,,,,,,,,
322,Brian Fitzpatrick,Scott Wallace,Republican,Democratic,51.3,48.7,PA-01,,,,,,,,,
323,Scott Perry,George Scott,Republican,Democratic,51.3,48.7,PA-10,,,,,,,,,
324,Lloyd Smucker,Jess King,Republican,Democratic,59.0,41.0,PA-11,Jessica King,Democratic,Lost,PA,C,,,,
325,Tom Marino,Marc Friedenburg,Republican,Democratic,66.0,34.0,PA-12,,,,,,,,,
326,John Joyce,Brent Ottaway,Republican,Democratic,70.5,29.5,PA-13,,,,,,,,,
327,Guy Reschenthaler,Bibiana Boerio,Republican,Democratic,57.9,42.1,PA-14,Bibiana Boerio,Democratic,Lost,PA,O,,,,
328,G.T. Thompson,Susan Boser,Republican,Democratic,67.8,32.2,PA-15,Susan Boser,Democratic,Lost,PA,C,,,,
329,Mike Kelly,Ronald DiNicola,Republican,Democratic,51.6,47.3,PA-16,,,,,,,,,
330,Conor Lamb,Keith Rothfus,Democratic,Republican,56.3,43.7,PA-17,,,,,,,,,
331,Brendan Boyle,David Torres,Democratic,Republican,79.0,21.0,PA-02,,,,,,,,,
332,Dwight Evans,Bryan E. Leib,Democratic,Republican,93.4,6.6,PA-03,,,,,,,,,
333,Madeleine Dean,Dan David,Democratic,Republican,63.5,36.5,PA-04,Madeleine Dean,Democratic,WON,PA,O,,,,
334,Mary Gay Scanlon,Pearl Kim,Democratic,Republican,65.2,34.8,PA-05,Pearl Kim,Republican,Lost,PA,O,Mary Gay Scanlon,Democratic,WON,O
335,Chrissy Houlahan,Greg McCauley,Democratic,Republican,58.9,41.1,PA-06,Chrissy Houlahan,Democratic,WON,PA,O,,,,
336,Susan Wild,Marty Nothstein,Democratic,Republican,53.5,43.5,PA-07,Susan Ellis Wild,Democratic,WON,PA,O,,,,
337,Matt Cartwright,John Chrin,Democratic,Republican,54.6,45.4,PA-08,,,,,,,,,
338,Dan Meuser,Denny Wolff,Republican,Democratic,59.7,40.3,PA-09,,,,,,,,,
339,David Cicilline,Patrick Donovan,Democratic,Republican,66.7,33.1,RI-01,,,,,,,,,
340,James Langevin,Sal Caiozzo,Democratic,Republican,63.5,36.3,RI-02,,,,,,,,,
341,Joe Cunningham,Katie Arrington,Democratic,Republican,50.6,49.2,SC-01,Katherine E. Arrington,Republican,Lost,SC,O,,,,
342,Joe Wilson,Sean Carrigan,Republican,Democratic,56.2,42.5,SC-02,,,,,,,,,
343,Jeff Duncan,Mary Geren,Republican,Democratic,67.8,31.0,SC-03,Mary Smith Geren,Democratic,Lost,SC,C,,,,
344,William Timmons,Brandon Brown,Republican,Democratic,59.6,36.6,SC-04,,,,,,,,,
345,Ralph Norman,Archie Parnell,Republican,Democratic,57.0,41.5,SC-05,,,,,,,,,
346,Jim Clyburn,Gerhard Gressmann,Democratic,Republican,70.1,28.2,SC-06,,,,,,,,,
347,Tom Rice,Robert Williams,Republican,Democratic,59.6,40.3,SC-07,,,,,,,,,
348,Dusty Johnson,Tim Bjorkman,Republican,Democratic,60.3,36.0,SD-00,,,,,,,,,
349,Phil Roe,Marty Olsen,Republican,Democratic,77.1,21.0,TN-01,,,,,,,,,
350,Tim Burchett,Renee Hoyos,Republican,Democratic,65.9,33.1,TN-02,Renee Hoyos,Democratic,Lost,TN,O,,,,
351,Chuck Fleischmann,Danielle Mitchell,Republican,Democratic,63.7,34.5,TN-03,Danielle Mitchell,Democratic,Lost,TN,C,,,,
352,Scott DesJarlais,Mariah Phillips,Republican,Democratic,63.4,33.6,TN-04,Mariah N. Phillips,Democratic,Lost,TN,C,,,,
353,Jim Cooper,Jody Ball,Democratic,Republican,67.8,32.2,TN-05,,,,,,,,,
354,John Rose,Dawn Barlow,Republican,Democratic,69.5,28.3,TN-06,,,,,,,,,
355,Mark Green,Justin Kanew,Republican,Democratic,66.9,32.1,TN-07,,,,,,,,,
356,David Kustoff,Erika Pearson,Republican,Democratic,67.7,30.1,TN-08,Erika Stotts Pearson,Democratic,Lost,TN,C,,,,
357,Steve Cohen,Charlotte Bergmann,Democratic,Republican,80.0,19.2,TN-09,Charlotte Bergmann,Republican,Lost,TN,C,,,,
358,Louie Gohmert,Shirley McKellar,Republican,Democratic,72.3,26.3,TX-01,Shirley J. McKellar,Democratic,Lost,TX,C,,,,
359,Michael McCaul,Mike Siegel,Republican,Democratic,51.1,46.8,TX-10,,,,,,,,,
360,Mike Conaway,Jennie Lou Leeder,Republican,Democratic,80.1,18.5,TX-11,Jennie Lou Leeder,Democratic,Lost,TX,C,,,,
361,Kay Granger,Vanessa Adia,Republican,Democratic,64.3,33.9,TX-12,Kay N. Granger,Republican,WON,TX,I,Vanessa M. Adia,Democratic,Lost,C
362,Mac Thornberry,Greg Sagan,Republican,Democratic,81.6,16.9,TX-13,,,,,,,,,
363,Randy Weber,Adrienne Bell,Republican,Democratic,59.2,39.3,TX-14,Adrienne Bell,Democratic,Lost,TX,C,,,,
364,Vicente González,Tim Westley,Democratic,Republican,59.7,38.7,TX-15,,,,,,,,,
365,Veronica Escobar,Rick Seeberger,Democratic,Republican,68.5,27.0,TX-16,Veronica Escobar,Democratic,WON,TX,O,,,,
366,Bill Flores,Rick Kennedy,Republican,Democratic,56.8,41.3,TX-17,,,,,,,,,
367,Sheila Jackson Lee,Ava Reynero Pate,Democratic,Republican,75.3,20.8,TX-18,Sheila Jackson Lee,Democratic,WON,TX,I,Ava Pate,Republican,Lost,C
368,Jodey Arrington,Miguel Levario,Republican,Democratic,75.2,24.8,TX-19,,,,,,,,,
369,Dan Crenshaw,Todd Litton,Republican,Democratic,52.8,45.6,TX-02,,,,,,,,,
370,Joaquín Castro,Jeffrey Blunt,Democratic,Other,80.9,19.1,TX-20,,,,,,,,,
371,Chip Roy,Joseph Kopser,Republican,Democratic,50.3,47.6,TX-21,,,,,,,,,
372,Pete Olson,Sri Preston Kulkarni,Republican,Democratic,51.4,46.4,TX-22,,,,,,,,,
373,Will Hurd,Gina Ortiz Jones,Republican,Democratic,49.2,48.7,TX-23,Gina Ortiz Jones,Democratic,Lost,TX,C,,,,
374,Kenny Marchant,Jan McDowell,Republican,Democratic,50.6,47.5,TX-24,Jan McDowell,Democratic,Lost,TX,C,,,,
375,Roger Williams,Julie Oliver,Republican,Democratic,53.5,44.8,TX-25,Julie K. Oliver,Democratic,Lost,TX,C,,,,
376,Michael C. Burgess,Linsey Fagan,Republican,Democratic,59.4,39.0,TX-26,Linsey E. Fagan,Democratic,Lost,TX,C,,,,
377,Henry Cuellar,Arthur Thomas IV,Democratic,Other,84.4,15.6,TX-28,,,,,,,,,
378,Sylvia Garcia,Phillip Aronoff,Democratic,Republican,75.1,23.9,TX-29,Sylvia R. Garcia,Democratic,WON,TX,O,,,,
379,Van Taylor,Lorie Burch,Republican,Democratic,54.2,44.2,TX-03,Lorie L. Burch,Democratic,Lost,TX,O,,,,
380,Eddie Bernice Johnson,Shawn Jones,Democratic,Other,91.1,8.9,TX-30,Eddie Bernice Johnson,Democratic,WON,TX,I,,,,
381,John Carter,MJ Hegar,Republican,Democratic,50.6,47.7,TX-31,MJ Hegar,Democratic,Lost,TX,C,,,,
382,Colin Allred,Pete Sessions,Democratic,Republican,52.3,45.7,TX-32,,,,,,,,,
383,Marc Veasey,Willie Billups,Democratic,Republican,76.2,21.9,TX-33,,,,,,,,,
384,Filemon Vela Jr.,Rey Gonzalez,Democratic,Republican,60.0,40.0,TX-34,,,,,,,,,
385,Lloyd Doggett,David Smalling,Democratic,Republican,71.3,26.0,TX-35,,,,,,,,,
386,Brian Babin,Dayna Steele,Republican,Democratic,72.6,27.4,TX-36,Dayna Steele,Democratic,Lost,TX,C,,,,
387,John Ratcliffe,Catherine Krantz,Republican,Democratic,75.7,23.0,TX-04,Catherine Krantz,Democratic,Lost,TX,C,,,,
388,Lance Gooden,Dan Wood,Republican,Democratic,62.3,37.6,TX-05,,,,,,,,,
389,Ron Wright,Jana Lynne Sanchez,Republican,Democratic,53.1,44.4,TX-06,Jana L. Sanchez,Democratic,Lost,TX,O,,,,
390,Lizzie Pannill Fletcher,John Culberson,Democratic,Republican,52.5,47.5,TX-07,Elizabeth Pannill Fletcher,Democratic,WON,TX,C,,,,
391,Kevin Brady,Steven David,Republican,Democratic,73.4,24.9,TX-08,,,,,,,,,
392,Al Green,Phil Kurtz,Democratic,Other,89.1,3.9,TX-09,,,,,,,,,
393,Rob Bishop (incumbent),Lee Castillo,Republican,Democratic,61.6,24.9,UT-01,,,,,,,,,
394,Chris Stewart (incumbent),Shireen Ghorbani,Republican,Democratic,56.1,38.9,UT-02,Shireen S. Ghorbani,Democratic,Lost,UT,C,,,,
395,John Curtis (incumbent),James Singer,Republican,Democratic,67.5,27.3,UT-03,,,,,,,,,
396,Ben McAdams,Mia Love,Democratic,Republican,50.1,49.9,UT-04,Mia B. Love,Republican,Lost,UT,I,,,,
397,Peter Welch,Anya Tynio,Democratic,Republican,69.2,26.0,VT-00,Anya Tynio,Republican,Lost,VT,C,,,,
398,Rob Wittman,Vangie Williams,Republican,Democratic,55.2,44.7,VA-01,Vangie Williams,Democratic,Lost,VA,C,,,,
399,Jennifer Wexton,Barbara Comstock,Democratic,Republican,56.1,43.7,VA-10,Barbara J. Comstock,Republican,Lost,VA,I,Jennifer Wexton,Democratic,WON,C
400,Gerry Connolly,Jeff Dove,Democratic,Republican,71.1,26.9,VA-11,,,,,,,,,
401,Elaine Luria,Scott Taylor,Democratic,Republican,51.1,48.8,VA-02,Elaine G. Luria,Democratic,WON,VA,C,,,,
402,Bobby Scott,Write-ins,Democratic,Other,91.2,8.8,VA-03,,,,,,,,,
403,Donald McEachin,Ryan McAdams,Democratic,Republican,62.6,35.9,VA-04,,,,,,,,,
404,Denver Riggleman,Leslie Cockburn,Republican,Democratic,53.2,46.6,VA-05,Leslie Cockburn,Democratic,Lost,VA,O,,,,
405,Ben Cline,Jennifer Lewis,Republican,Democratic,59.7,40.2,VA-06,Jennifer L. Lewis,Democratic,Lost,VA,O,,,,
406,Abigail Spanberger,Dave Brat,Democratic,Republican,50.3,48.4,VA-07,Abigail D. Spanberger,Democratic,WON,VA,C,,,,
407,Don Beyer,Thomas Oh,Democratic,Republican,76.1,23.7,VA-08,,,,,,,,,
408,Morgan Griffith,Anthony Flaccavento,Republican,Democratic,65.2,34.7,VA-09,,,,,,,,,
409,Suzan DelBene,Jeffrey Beeler,Democratic,Republican,59.3,40.7,WA-01,Suzan K. DelBene,Democratic,WON,WA,I,,,,
410,Denny Heck,Joseph Brumbles,Democratic,Republican,61.5,38.5,WA-10,,,,,,,,,
411,Rick Larsen,Brian Luke,Democratic,Other,71.3,28.7,WA-02,,,,,,,,,
412,Jaime Herrera Beutler,Carolyn Long,Republican,Democratic,52.7,47.3,WA-03,Jaime L. Herrera Beutler,Republican,WON,WA,I,Carolyn Long,Democratic,Lost,C
413,Dan Newhouse,Christine Brown,Republican,Democratic,62.8,37.2,WA-04,Christine C. Brown,Democratic,Lost,WA,C,,,,
414,Cathy McMorris Rodgers,Lisa Brown,Republican,Democratic,54.8,45.2,WA-05,Cathy McMorris Rodgers,Republican,WON,WA,I,Lisa Brown,Democratic,Lost,C
415,Derek Kilmer,Douglas Dightman,Democratic,Republican,63.9,36.1,WA-06,,,,,,,,,
416,Pramila Jayapal,Craig Keller,Democratic,Republican,83.6,16.4,WA-07,Pramila Jayapal,Democratic,WON,WA,I,,,,
417,Kim Schrier,Dino Rossi,Democratic,Republican,52.4,47.6,WA-08,Kim Schrier,Democratic,WON,WA,O,,,,
418,Adam Smith,Sarah Smith,Democratic,Democratic,67.9,32.1,WA-09,Sarah Smith,Democratic,Lost,WA,C,,,,
419,David McKinley,Kendra Fershee,Republican,Democratic,64.6,35.4,WV-01,Kendra Jean Huard Fershee,Democratic,Lost,WV,C,,,,
420,Alex Mooney,Talley Sergent,Republican,Democratic,53.9,43.0,WV-02,R. Talley Sergent,Democratic,Lost,WV,C,,,,
421,Carol Miller,Richard Ojeda,Republican,Democratic,56.4,43.6,WV-03,Carol D. Miller,Republican,WON,WV,O,,,,
422,Bryan Steil,Randy Bryce,Republican,Democratic,54.6,42.2,WI-01,,,,,,,,,
423,Mark Pocan,Joey Wayne Reed (write-in),Democratic,Republican,97.4,0.0,WI-02,,,,,,,,,
424,Ron Kind,Steve Toft,Democratic,Republican,59.7,40.3,WI-03,,,,,,,,,
425,Gwen Moore,Tim Rogers,Democratic,Republican,75.6,21.7,WI-04,Gwen S. Moore,Democratic,WON,WI,I,,,,
426,Jim Sensenbrenner,Tom Palzewicz,Republican,Democratic,61.9,38.0,WI-05,,,,,,,,,
427,Glenn Grothman,Dan Kohl,Republican,Democratic,55.4,44.5,WI-06,,,,,,,,,
428,Sean Duffy,Margaret Engebretson,Republican,Democratic,60.1,38.5,WI-07,Margaret R. Engebretson,Democratic,Lost,WI,C,,,,
429,Mike Gallagher,Beau Liegeois,Republican,Democratic,63.7,36.3,WI-08,,,,,,,,,
430,Liz Cheney,Greg Hunter,Republican,Democratic,63.6,29.8,WY-00,Liz L. Cheney,Republican,WON,WY,I,,,,
